wine_name,ratings_average,ratings_count,rating_per_price,price_euros
Montrachet Grand Cru Marquis de Laguiche,4.8,339,0.27,6133.05
IX Estate Red,4.8,131,0.84,745.0
Harlan Estate Red,4.8,104,0.26,1921.25
Vintage Port Nacional,4.8,52,0.22,1152.5
Clos du Mesnil,4.78,715,0.29,11636.25
Veneto Alzero Cabernet,4.74,736,0.76,4584.8
Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,4.73,3619,1.99,8605.0
Sauternes,4.72,6142,3.3,8773.5
Valbuena 5º,4.7,3678,45.24,382.15
P2 Plénitude Brut Champagne,4.7,970,3.36,1358.75
Cristal Rosé Brut Champagne (Millésimé),4.7,804,0.91,4163.75
Dominus (Christian Moueix),4.7,370,2.27,765.9
Tenuta Guado al Tasso Matarocchio,4.7,342,0.95,1687.5
Les Pavots,4.7,126,1.44,412.5
Chevalier-Montrachet Grand Cru,4.7,104,0.19,2562.5
Clos de Tart Grand Cru Monopole,4.7,77,0.12,2947.5
Quiñon de Valmira,4.7,49,0.58,395.0
Collection Vintage 2000 Brut,4.7,45,1.16,182.5
Perpiero,4.7,43,3.37,59.95
Mazis-Chambertin Grand Cru Cuvée Madeleine Collignon,4.7,32,0.25,605.0
Riserva vecchie viti dei Capalot e delle Brunate Barolo,4.7,32,0.16,940.0
Lot 1,4.7,28,1.39,95.0
Triglia Negroamaro Rosato,4.7,25,5.12,22.95
Toscana,4.69,12622,0.95,62516.9
Tenuta Tignanello 'Solaia',4.69,9502,6.9,6464.5
Grand Vin Pauillac (Premier Grand Cru Classé),4.69,6020,1.88,15048.59
Amarone della Valpolicella Monte Lodoletta,4.69,4750,2.08,10706.25
Special Selection Cabernet Sauvignon,4.69,2189,12.21,840.5
Grange,4.68,1221,1.34,4265.8
Unico,4.68,1008,2.49,1895.6
