wine_name,ratings_average,ratings_count,rating_per_price,price_euros
Montrachet Grand Cru Marquis de Laguiche,4.8,339,0.27,6133.05
IX Estate Red,4.8,131,0.84,745.0
Harlan Estate Red,4.8,104,0.26,1921.25
Vintage Port Nacional,4.8,52,0.22,1152.5
Clos du Mesnil,4.78,715,0.29,11636.25
Veneto Alzero Cabernet,4.74,736,0.76,4584.8
Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,4.73,3619,1.99,8605.0
Sauternes,4.72,6142,3.3,8773.5
Valbuena 5º,4.7,3678,45.24,382.15
P2 Plénitude Brut Champagne,4.7,970,3.36,1358.75
